hint_1|Må Kraften være med dig.
hint_2|Fupreligioner og oldgamle våben er ingen udfordring for en god blaster ved din side, knægt.
hint_3|Gør det eller lad være... der er intet &quot;bare at prøve&quot;.
hint_4|Jeg finder din manglende tro foruroligende.
hint_5|Hjælp mig, Obi-Wan Kenobi; du er mit eneste håb.
hint_6|Nogen skal jo redde os. Ind i affaldsskakten, flyverknægt.
hint_7|Kraften er stærk hos denne her.
hint_8|Hurtigt skib? Du har aldrig hørt om Tusindeårs Falken?
hint_9|Vidunderlig pige. Enten kommer jeg til at slå hende ihjel eller også kommer jeg til at lide hende. 
hint_10|Er du ikke lidt for lille til at være en stormtrop?
hint_11|Er der nogen der gider at få det omvandrende tæppe væk fra mig?
hint_12|YAHOOOOO!  Du er helt klar, knægt, lad os nu sprænge den her tingest og smutte hjem af!
hint_13|Jeg tror tiden er inde til at demonstrere den fulde kræft af denne station. Sæt kursen mod Alderaan.
hint_14|For lang tid siden, i en galakse langt, langt væk...
hint_15|God mod en remote er en ting. God mod de levende, det er noget andet.
hint_16|Han er hjernen søde ven.
hint_17|Din selviske, halvt opfattende, nerf bonde!
hint_18|Whem er grim?
